avg_lat,avg_lon,Grid ID,Avg_House_Price,Traffic Congestion,Avg_Temp,Avg_Wind_km_h,Avg_Humidity_%,Avg_Visibility_km,Avg_Cloud_%,Avg_Shortwave_W_m2,Area Type,Demand,Dist_km,Total_demand,noise
31.0189,121.2277,0,28019.36363636364,"[1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[6.02, 6.5, 11.99, 17.24, 20.93, 24.21, 30.68, 31.18, 27.72, 19.83, 15.06, 7.11]","[7.5, 8.89, 8.68, 8.41, 9.32, 7.4, 10.32, 7.85, 8.83, 7.5, 7.78, 6.11]","[71.39, 79.42, 71.19, 76.93, 69.9, 82.1, 74.63, 72.91, 78.73, 78.83, 71.27, 65.44]","[8.45, 8.86, 9.82, 10.62, 17.62, 11.6, 20.25, 18.79, 17.28, 13.38, 15.62, 10.8]","[13.38, 27.19, 18.79, 41.7, 28.86, 49.38, 35.03, 6.75, 14.06, 25.91, 13.0, 11.46]","[123.44, 124.89, 184.3, 180.08, 239.05, 184.54, 238.87, 247.33, 190.27, 134.6, 123.15, 113.62]",13.0,"[106.12, 86.38, 102.75, 101.38, 142.25, 116.0, 124.38, 134.62, 137.5, 126.0, 130.5, 126.25, 113.5, 126.38, 110.62, 72.0, 113.0, 118.25, 112.88, 58.38, 65.88, 45.62, 51.75, 47.0, 56.62, 31.38, 61.62, 70.88, 68.12, 62.75, 53.12, 28.38, 64.12, 52.5, 85.12, 73.0, 55.88, 64.5, 66.88, 34.88, 55.62, 57.62, 81.75, 46.38, 61.38, 36.88, 68.12, 78.5]",33.08151350975788,31084.0,0.5671591822948491
31.0189,121.2377,1,26511.83333333333,"[1, 2, 2, 2, 2, 2, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[6.02, 6.5, 11.99, 17.24, 20.93, 24.21, 30.68, 31.18, 27.72, 19.83, 15.06, 7.11]","[7.5, 8.89, 8.68, 8.41, 9.32, 7.4, 10.32, 7.85, 8.83, 7.5, 7.78, 6.11]","[71.39, 79.42, 71.19, 76.93, 69.9, 82.1, 74.63, 72.91, 78.73, 78.83, 71.27, 65.44]","[8.45, 8.86, 9.82, 10.62, 17.62, 11.6, 20.25, 18.79, 17.28, 13.38, 15.62, 10.8]","[13.38, 27.19, 18.79, 41.7, 28.86, 49.38, 35.03, 6.75, 14.06, 25.91, 13.0, 11.46]","[123.44, 124.89, 184.3, 180.08, 239.05, 184.54, 238.87, 247.33, 190.27, 134.6, 123.15, 113.62]",0.0,"[329.5, 248.88, 244.5, 263.12, 325.88, 287.88, 308.12, 286.62, 328.62, 328.25, 284.38, 304.38, 282.25, 207.62, 224.0, 202.25, 226.75, 248.38, 225.25, 156.12, 179.5, 224.62, 203.62, 187.5, 193.5, 129.38, 209.25, 193.25, 188.88, 184.38, 207.62, 232.75, 214.88, 237.62, 281.75, 248.62, 255.12, 293.12, 300.62, 294.5, 302.88, 314.75, 379.75, 323.75, 335.5, 289.5, 412.62, 367.5]",32.43122948930218,99999.0,0.5445183315830762
31.0189,121.2477,2,25387.666666666668,"[1, 1, 2, 3, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[6.02, 6.5, 11.99, 17.24, 20.93, 24.21, 30.68, 31.18, 27.72, 19.83, 15.06, 7.11]","[7.5, 8.89, 8.68, 8.41, 9.32, 7.4, 10.32, 7.85, 8.83, 7.5, 7.78, 6.11]","[71.39, 79.42, 71.19, 76.93, 69.9, 82.1, 74.63, 72.91, 78.73, 78.83, 71.27, 65.44]","[8.45, 8.86, 9.82, 10.62, 17.62, 11.6, 20.25, 18.79, 17.28, 13.38, 15.62, 10.8]","[13.38, 27.19, 18.79, 41.7, 28.86, 49.38, 35.03, 6.75, 14.06, 25.91, 13.0, 11.46]","[123.44, 124.89, 184.3, 180.08, 239.05, 184.54, 238.87, 247.33, 190.27, 134.6, 123.15, 113.62]",13.0,"[102.75, 127.0, 168.5, 139.62, 168.88, 154.62, 164.0, 145.62, 159.75, 140.25, 153.25, 145.88, 152.0, 155.0, 141.62, 86.0, 92.25, 69.62, 87.88, 48.62, 48.0, 49.62, 63.5, 45.0, 49.12, 20.12, 51.25, 48.62, 82.5, 57.12, 67.0, 63.5, 65.62, 72.25, 72.88, 50.88, 73.25, 56.0, 53.5, 67.38, 78.62, 74.62, 100.38, 49.0, 40.38, 40.5, 83.0, 113.5]",31.796144876633413,34722.0,0.4901022644117664
31.0189,121.2577,3,24375.866666666665,"[2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[6.02, 6.5, 11.99, 17.24, 20.93, 24.21, 30.68, 31.18, 27.72, 19.83, 15.06, 7.11]","[7.5, 8.89, 8.68, 8.41, 9.32, 7.4, 10.32, 7.85, 8.83, 7.5, 7.78, 6.11]","[71.39, 79.42, 71.19, 76.93, 69.9, 82.1, 74.63, 72.91, 78.73, 78.83, 71.27, 65.44]","[8.45, 8.86, 9.82, 10.62, 17.62, 11.6, 20.25, 18.79, 17.28, 13.38, 15.62, 10.8]","[13.38, 27.19, 18.79, 41.7, 28.86, 49.38, 35.03, 6.75, 14.06, 25.91, 13.0, 11.46]","[123.44, 124.89, 184.3, 180.08, 239.05, 184.54, 238.87, 247.33, 190.27, 134.6, 123.15, 113.62]",13.0,"[70.0, 48.0, 34.0, 21.25, 23.12, 14.62, 19.5, 4.25, 18.0, 3.62, 25.75, 9.38, 19.0, 10.5, 97.0, 40.12, 89.25, 97.12, 55.88, 63.5, 46.38, 66.12, 61.38, 43.0, 44.5, 31.0, 60.88, 57.75, 83.38, 70.38, 48.12, 44.75, 35.88, 62.88, 103.88, 61.75, 61.25, 44.12, 43.12, 47.88, 70.75, 66.0, 96.12, 66.0, 49.0, 39.75, 77.75, 43.5]",31.17718853444857,19130.0,0.505842732243892
31.0189,121.2677,4,20290.0,"[1, 3, 4, 3, 2, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 4, 4, 4, 3, 3, 1, 1, 1, 1, 1, 1, 1]","[6.02, 6.5, 11.99, 17.24, 20.93, 24.21, 30.68, 31.18, 27.72, 19.83, 15.06, 7.11]","[7.5, 8.89, 8.68, 8.41, 9.32, 7.4, 10.32, 7.85, 8.83, 7.5, 7.78, 6.11]","[71.39, 79.42, 71.19, 76.93, 69.9, 82.1, 74.63, 72.91, 78.73, 78.83, 71.27, 65.44]","[8.45, 8.86, 9.82, 10.62, 17.62, 11.6, 20.25, 18.79, 17.28, 13.38, 15.62, 10.8]","[13.38, 27.19, 18.79, 41.7, 28.86, 49.38, 35.03, 6.75, 14.06, 25.91, 13.0, 11.46]","[123.44, 124.89, 184.3, 180.08, 239.05, 184.54, 238.87, 247.33, 190.27, 134.6, 123.15, 113.62]",6.0,"[56.5, 43.12, 43.12, 65.0, 82.75, 51.62, 50.75, 66.62, 88.38, 95.62, 92.88, 64.12, 87.0, 77.75, 57.75, 50.0, 46.62, 72.62, 61.5, 56.88, 51.0, 45.25, 73.88, 35.12, 47.75, 26.25, 48.38, 40.5, 85.0, 50.25, 49.0, 81.38, 66.5, 81.38, 102.62, 107.38, 79.12, 66.12, 42.25, 55.25, 57.75, 64.0, 46.5, 38.5, 42.5, 27.25, 37.5, 31.25]",30.57533996859447,23122.0,0.566469016847729
31.0189,121.2777,5,-1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[6.02, 6.5, 11.99, 17.24, 20.93, 24.21, 30.68, 31.18, 27.72, 19.83, 15.06, 7.11]","[7.5, 8.89, 8.68, 8.41, 9.32, 7.4, 10.32, 7.85, 8.83, 7.5, 7.78, 6.11]","[71.39, 79.42, 71.19, 76.93, 69.9, 82.1, 74.63, 72.91, 78.73, 78.83, 71.27, 65.44]","[8.45, 8.86, 9.82, 10.62, 17.62, 11.6, 20.25, 18.79, 17.28, 13.38, 15.62, 10.8]","[13.38, 27.19, 18.79, 41.7, 28.86, 49.38, 35.03, 6.75, 14.06, 25.91, 13.0, 11.46]","[123.44, 124.89, 184.3, 180.08, 239.05, 184.54, 238.87, 247.33, 190.27, 134.6, 123.15, 113.62]",13.0,"[7.0, 8.75, 2.62, 9.62, 1.38, 1.88, 0.88, 0.62, 3.25, 0.75, 2.25, 1.62, 4.75, 3.38, 15.12, 22.62, 14.75, 27.88, 21.5, 27.0, 19.5, 28.0, 44.0, 28.38, 30.12, 9.75, 11.12, 10.62, 17.25, 40.25, 42.5, 49.62, 15.25, 25.75, 28.5, 24.62, 15.12, 16.88, 11.25, 10.38, 11.12, 26.25, 15.75, 13.75, 12.88, 9.75, 8.38, 10.88]",29.99162911824103,6122.0,0.5640186123118796
31.0189,121.2877,6,-1.0,"[1, 1, 2, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[6.02, 6.5, 11.99, 17.24, 20.93, 24.21, 30.68, 31.18, 27.72, 19.83, 15.06, 7.11]","[7.5, 8.89, 8.68, 8.41, 9.32, 7.4, 10.32, 7.85, 8.83, 7.5, 7.78, 6.11]","[71.39, 79.42, 71.19, 76.93, 69.9, 82.1, 74.63, 72.91, 78.73, 78.83, 71.27, 65.44]","[8.45, 8.86, 9.82, 10.62, 17.62, 11.6, 20.25, 18.79, 17.28, 13.38, 15.62, 10.8]","[13.38, 27.19, 18.79, 41.7, 28.86, 49.38, 35.03, 6.75, 14.06, 25.91, 13.0, 11.46]","[123.44, 124.89, 184.3, 180.08, 239.05, 184.54, 238.87, 247.33, 190.27, 134.6, 123.15, 113.62]",0.0,"[0.0, 0.75, 0.0, 2.5, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.38, 2.25, 2.25, 6.88, 3.25, 13.88, 3.88, 14.75, 47.88, 31.88, 17.75, 14.0, 15.0, 16.75, 8.62, 13.12, 2.38, 6.25, 8.38, 8.62, 15.88, 16.25, 9.75, 25.0, 8.38, 7.0, 2.0, 4.38, 2.62, 3.5, 1.88, 5.5, 2.75, 6.5, 4.12, 1.0, 12.25, 3.62]",29.427135336510496,3014.0,0.5615682077760302
31.0189,121.2977,7,-1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[6.02, 6.5, 11.99, 17.24, 20.93, 24.21, 30.68, 31.18, 27.72, 19.83, 15.06, 7.11]","[7.5, 8.89, 8.68, 8.41, 9.32, 7.4, 10.32, 7.85, 8.83, 7.5, 7.78, 6.11]","[71.39, 79.42, 71.19, 76.93, 69.9, 82.1, 74.63, 72.91, 78.73, 78.83, 71.27, 65.44]","[8.45, 8.86, 9.82, 10.62, 17.62, 11.6, 20.25, 18.79, 17.28, 13.38, 15.62, 10.8]","[13.38, 27.19, 18.79, 41.7, 28.86, 49.38, 35.03, 6.75, 14.06, 25.91, 13.0, 11.46]","[123.44, 124.89, 184.3, 180.08, 239.05, 184.54, 238.87, 247.33, 190.27, 134.6, 123.15, 113.62]",2.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.62, 8.62, 7.5, 4.5, 0.0, 1.38, 3.5, 23.38, 23.25, 23.25, 22.5, 23.0, 21.5, 1.62, 0.0, 1.75, 3.12, 1.5, 1.5, 0.0, 0.0, 2.88, 0.0, 0.0, 1.5, 2.88, 0.0, 0.0, 1.25, 0.0, 0.0]",28.882985394686944,1480.0,0.5591178032401809
31.0189,121.3077,8,22280.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[6.02, 6.5, 11.99, 17.24, 20.93, 24.21, 30.68, 31.18, 27.72, 19.83, 15.06, 7.11]","[7.5, 8.89, 8.68, 8.41, 9.32, 7.4, 10.32, 7.85, 8.83, 7.5, 7.78, 6.11]","[71.39, 79.42, 71.19, 76.93, 69.9, 82.1, 74.63, 72.91, 78.73, 78.83, 71.27, 65.44]","[8.45, 8.86, 9.82, 10.62, 17.62, 11.6, 20.25, 18.79, 17.28, 13.38, 15.62, 10.8]","[13.38, 27.19, 18.79, 41.7, 28.86, 49.38, 35.03, 6.75, 14.06, 25.91, 13.0, 11.46]","[123.44, 124.89, 184.3, 180.08, 239.05, 184.54, 238.87, 247.33, 190.27, 134.6, 123.15, 113.62]",12.0,"[36.88, 23.5, 16.62, 12.38, 14.38, 10.0, 7.38, 2.75, 11.12, 4.5, 22.0, 30.38, 36.5, 26.75, 53.38, 37.25, 39.5, 50.5, 84.62, 51.0, 67.5, 65.25, 51.62, 65.25, 74.25, 79.38, 48.12, 63.88, 59.88, 35.62, 61.75, 49.38, 69.62, 69.88, 33.75, 47.0, 56.62, 33.75, 59.5, 45.25, 34.0, 45.0, 34.12, 37.38, 44.25, 16.5, 25.88, 40.12]",28.360350333054463,15887.0,0.5566673987043315
31.0189,121.3177,9,21470.90909090909,"[1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[6.02, 6.5, 11.99, 17.24, 20.93, 24.21, 30.68, 31.18, 27.72, 19.83, 15.06, 7.11]","[7.5, 8.89, 8.68, 8.41, 9.32, 7.4, 10.32, 7.85, 8.83, 7.5, 7.78, 6.11]","[71.39, 79.42, 71.19, 76.93, 69.9, 82.1, 74.63, 72.91, 78.73, 78.83, 71.27, 65.44]","[8.45, 8.86, 9.82, 10.62, 17.62, 11.6, 20.25, 18.79, 17.28, 13.38, 15.62, 10.8]","[13.38, 27.19, 18.79, 41.7, 28.86, 49.38, 35.03, 6.75, 14.06, 25.91, 13.0, 11.46]","[123.44, 124.89, 184.3, 180.08, 239.05, 184.54, 238.87, 247.33, 190.27, 134.6, 123.15, 113.62]",12.0,"[49.88, 39.25, 48.12, 29.0, 40.5, 29.62, 50.12, 24.38, 40.88, 27.12, 72.12, 42.12, 68.88, 35.62, 38.12, 41.62, 27.5, 31.5, 34.25, 31.62, 55.5, 50.38, 56.38, 45.25, 50.25, 32.62, 34.0, 43.0, 28.62, 21.0, 53.5, 55.75, 66.12, 63.38, 50.25, 68.38, 72.88, 43.38, 70.0, 50.62, 51.88, 55.5, 61.12, 42.0, 75.12, 42.25, 58.5, 49.38]",27.86044097763848,17994.0,0.4784585307716443
31.0189,121.3277,10,-1.0,"[1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 4, 3, 3, 3, 3, 2, 1, 1]","[6.02, 6.5, 11.99, 17.24, 20.93, 24.21, 30.68, 31.18, 27.72, 19.83, 15.06, 7.11]","[7.5, 8.89, 8.68, 8.41, 9.32, 7.4, 10.32, 7.85, 8.83, 7.5, 7.78, 6.11]","[71.39, 79.42, 71.19, 76.93, 69.9, 82.1, 74.63, 72.91, 78.73, 78.83, 71.27, 65.44]","[8.45, 8.86, 9.82, 10.62, 17.62, 11.6, 20.25, 18.79, 17.28, 13.38, 15.62, 10.8]","[13.38, 27.19, 18.79, 41.7, 28.86, 49.38, 35.03, 6.75, 14.06, 25.91, 13.0, 11.46]","[123.44, 124.89, 184.3, 180.08, 239.05, 184.54, 238.87, 247.33, 190.27, 134.6, 123.15, 113.62]",2.0,"[17.38, 5.0, 12.12, 0.0, 4.12, 4.0, 2.0, 1.88, 0.0, 2.38, 5.38, 7.25, 20.12, 6.25, 6.62, 16.5, 23.75, 21.75, 21.25, 17.88, 15.12, 14.25, 22.75, 16.0, 18.88, 9.75, 22.75, 19.25, 26.88, 15.12, 18.88, 20.75, 22.5, 18.12, 11.88, 21.88, 21.0, 17.12, 15.62, 10.88, 11.5, 13.12, 8.38, 6.88, 17.0, 10.62, 9.88, 7.38]",27.38450194732704,5118.0,0.49795004899960005
31.0189,121.3377,11,-1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4, 3, 3, 3, 3, 1, 1, 1, 1]","[6.02, 6.5, 11.99, 17.24, 20.93, 24.21, 30.68, 31.18, 27.72, 19.83, 15.06, 7.11]","[7.5, 8.89, 8.68, 8.41, 9.32, 7.4, 10.32, 7.85, 8.83, 7.5, 7.78, 6.11]","[71.39, 79.42, 71.19, 76.93, 69.9, 82.1, 74.63, 72.91, 78.73, 78.83, 71.27, 65.44]","[8.45, 8.86, 9.82, 10.62, 17.62, 11.6, 20.25, 18.79, 17.28, 13.38, 15.62, 10.8]","[13.38, 27.19, 18.79, 41.7, 28.86, 49.38, 35.03, 6.75, 14.06, 25.91, 13.0, 11.46]","[123.44, 124.89, 184.3, 180.08, 239.05, 184.54, 238.87, 247.33, 190.27, 134.6, 123.15, 113.62]",0.0,"[6.12, 1.25, 0.0, 0.0, 0.12, 1.0, 0.25, 1.0, 0.0, 0.0, 3.5, 3.5, 7.75, 3.38, 1.75, 3.88, 3.0, 7.38, 5.0, 8.12, 7.62, 5.38, 7.25, 3.62, 10.12, 4.0, 6.75, 7.5, 8.75, 3.12, 5.12, 6.75, 10.62, 9.0, 8.25, 7.62, 2.75, 4.25, 7.25, 5.12, 5.75, 7.12, 4.62, 1.5, 4.0, 5.62, 3.0, 1.75]",26.933803992968585,1770.0,0.5174415672275559
31.0189,121.3477,12,-1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[6.02, 6.5, 11.99, 17.24, 20.93, 24.21, 30.68, 31.18, 27.72, 19.83, 15.06, 7.11]","[7.5, 8.89, 8.68, 8.41, 9.32, 7.4, 10.32, 7.85, 8.83, 7.5, 7.78, 6.11]","[71.39, 79.42, 71.19, 76.93, 69.9, 82.1, 74.63, 72.91, 78.73, 78.83, 71.27, 65.44]","[8.45, 8.86, 9.82, 10.62, 17.62, 11.6, 20.25, 18.79, 17.28, 13.38, 15.62, 10.8]","[13.38, 27.19, 18.79, 41.7, 28.86, 49.38, 35.03, 6.75, 14.06, 25.91, 13.0, 11.46]","[123.44, 124.89, 184.3, 180.08, 239.05, 184.54, 238.87, 247.33, 190.27, 134.6, 123.15, 113.62]",13.0,"[9.0, 4.38, 2.38, 0.38, 1.5, 1.38, 0.0, 2.0, 0.0, 0.0, 5.75, 5.5, 17.5, 9.75, 8.38, 10.0, 14.38, 16.88, 16.38, 21.38, 16.62, 11.38, 14.12, 8.62, 15.5, 9.25, 15.62, 16.88, 10.88, 12.38, 13.38, 15.0, 25.5, 17.12, 11.88, 15.38, 11.38, 7.75, 13.88, 12.5, 10.75, 13.12, 11.0, 6.75, 8.62, 9.88, 6.25, 6.25]",26.509634542053327,3956.0,0.5369330854555115
31.0189,121.3577,13,-1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[5.16, 6.18, 11.22, 16.62, 20.04, 23.68, 30.37, 30.88, 27.3, 19.55, 14.41, 6.19]","[7.41, 8.15, 8.21, 7.25, 8.27, 6.33, 9.33, 6.77, 7.4, 6.95, 6.5, 5.47]","[75.31, 81.96, 75.82, 81.95, 77.03, 86.49, 77.29, 75.94, 83.05, 83.1, 77.65, 73.06]","[7.54, 8.09, 9.72, 10.5, 15.17, 10.51, 17.95, 16.48, 14.58, 11.01, 12.49, 8.74]","[12.39, 26.68, 19.25, 41.24, 32.89, 51.13, 32.34, 5.7, 15.73, 24.75, 13.19, 10.44]","[140.65, 137.33, 204.12, 194.19, 259.83, 194.4, 268.02, 278.07, 214.56, 153.79, 139.22, 129.74]",13.0,"[3.75, 1.0, 2.0, 0.38, 0.38, 0.12, 0.0, 0.0, 0.0, 1.0, 1.62, 1.0, 4.5, 3.88, 6.62, 6.88, 9.62, 12.88, 13.75, 9.38, 9.12, 6.12, 7.38, 4.88, 7.25, 4.38, 9.12, 7.38, 4.38, 8.62, 7.88, 5.0, 11.75, 7.12, 5.38, 6.75, 7.5, 3.25, 3.0, 3.5, 3.75, 4.12, 3.0, 4.12, 3.75, 8.25, 1.25, 2.12]",26.11328637212121,1911.0,0.5564246036834674
31.0189,121.3677,14,-1.0,"[1, 1, 1, 3, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4, 4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1]","[6.1, 6.72, 11.93, 17.37, 21.05, 24.41, 30.96, 31.7, 27.98, 20.38, 15.4, 7.39]","[6.0, 6.48, 5.93, 5.22, 5.68, 4.53, 6.85, 5.02, 5.27, 4.85, 4.9, 4.02]","[68.76, 76.83, 68.56, 74.55, 67.37, 80.09, 72.02, 68.74, 77.25, 75.88, 68.89, 62.92]","[7.63, 8.12, 9.33, 11.08, 18.58, 13.53, 21.55, 20.76, 18.74, 14.78, 15.62, 11.0]","[12.98, 26.32, 18.71, 41.48, 29.21, 49.5, 34.89, 6.81, 13.88, 26.7, 12.43, 11.23]","[124.56, 126.36, 186.56, 180.0, 242.14, 185.46, 241.65, 251.66, 194.37, 136.88, 124.74, 114.84]",9.0,"[4.12, 9.75, 2.88, 0.25, 0.88, 1.38, 0.0, 2.88, 0.0, 1.75, 3.25, 1.12, 2.88, 2.38, 3.5, 6.25, 11.25, 14.5, 30.75, 28.88, 29.12, 21.75, 3.62, 3.38, 6.0, 7.25, 9.5, 6.88, 5.38, 5.25, 5.75, 8.5, 9.0, 5.12, 9.62, 14.0, 11.5, 5.38, 4.5, 1.62, 3.75, 6.62, 6.62, 1.25, 9.12, 2.5, 0.38, 1.5]",25.74604440489795,2668.0,0.575916121911423
31.0189,121.3777,15,31841.0,"[1, 1, 1, 3, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[6.1, 6.72, 11.93, 17.37, 21.05, 24.41, 30.96, 31.7, 27.98, 20.38, 15.4, 7.39]","[6.0, 6.48, 5.93, 5.22, 5.68, 4.53, 6.85, 5.02, 5.27, 4.85, 4.9, 4.02]","[68.76, 76.83, 68.56, 74.55, 67.37, 80.09, 72.02, 68.74, 77.25, 75.88, 68.89, 62.92]","[7.63, 8.12, 9.33, 11.08, 18.58, 13.53, 21.55, 20.76, 18.74, 14.78, 15.62, 11.0]","[12.98, 26.32, 18.71, 41.48, 29.21, 49.5, 34.89, 6.81, 13.88, 26.7, 12.43, 11.23]","[124.56, 126.36, 186.56, 180.0, 242.14, 185.46, 241.65, 251.66, 194.37, 136.88, 124.74, 114.84]",13.0,"[10.38, 4.25, 6.0, 0.12, 6.62, 3.88, 7.62, 4.25, 5.25, 1.62, 5.0, 11.5, 7.12, 1.5, 4.12, 7.38, 13.75, 5.88, 10.25, 14.0, 18.0, 17.25, 6.0, 9.38, 22.75, 17.88, 20.75, 18.25, 26.25, 8.5, 34.88, 27.62, 17.62, 20.88, 51.25, 22.62, 21.5, 13.25, 18.88, 9.0, 34.12, 10.38, 42.25, 5.5, 13.88, 14.62, 4.38, 7.38]",25.409170701696432,5324.0,0.5954076401393789
31.0189,121.3877,16,40830.5,"[1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[6.1, 6.72, 11.93, 17.37, 21.05, 24.41, 30.96, 31.7, 27.98, 20.38, 15.4, 7.39]","[6.0, 6.48, 5.93, 5.22, 5.68, 4.53, 6.85, 5.02, 5.27, 4.85, 4.9, 4.02]","[68.76, 76.83, 68.56, 74.55, 67.37, 80.09, 72.02, 68.74, 77.25, 75.88, 68.89, 62.92]","[7.63, 8.12, 9.33, 11.08, 18.58, 13.53, 21.55, 20.76, 18.74, 14.78, 15.62, 11.0]","[12.98, 26.32, 18.71, 41.48, 29.21, 49.5, 34.89, 6.81, 13.88, 26.7, 12.43, 11.23]","[124.56, 126.36, 186.56, 180.0, 242.14, 185.46, 241.65, 251.66, 194.37, 136.88, 124.74, 114.84]",9.0,"[9.38, 23.25, 50.0, 67.62, 73.38, 69.62, 75.12, 71.62, 70.75, 68.0, 71.5, 65.12, 51.5, 27.88, 25.88, 47.12, 56.25, 35.25, 13.12, 17.0, 25.5, 15.88, 28.38, 24.5, 28.12, 34.12, 58.5, 40.5, 53.12, 27.88, 35.88, 28.0, 43.62, 53.75, 104.62, 66.75, 38.5, 36.25, 46.38, 38.5, 59.88, 27.25, 24.75, 24.0, 21.88, 5.5, 8.62, 26.62]",25.103887847096463,16134.0,0.4712027285626166
