time_step,start,end,flow,distance
0,172,525,5,12.35164992665693
0,200,402,3,13.570867804142528
0,200,464,7,8.783774420135625
0,200,579,2,12.57636232869906
0,200,714,1,13.478531625480986
0,402,200,2,13.570867804142528
0,402,579,77,6.514036981260467
0,464,200,19,8.783774420135625
0,464,714,14,10.122771228736514
0,464,850,11,10.052673626423328
0,464,856,4,11.080793243354975
0,464,1232,1,20.81259910432051
0,525,172,4,12.35164992665693
0,525,402,15,6.614151574587493
0,525,579,1,10.527425779295132
0,525,702,14,6.512937082064592
0,525,783,10,6.671695598673383
0,525,794,1,12.411444711524124
0,525,1399,1,25.917834752733636
0,525,1478,3,25.351799059267154
0,579,794,42,5.55974633222762
0,579,834,6,7.256503514219511
0,579,925,3,9.096756146766438
0,579,928,5,10.087254514060623
0,579,967,3,10.052645101539124
0,579,973,1,12.02013346271456
0,579,1004,3,12.093776951796409
0,579,1011,2,11.281034038678854
0,579,1058,1,13.4971193863272
0,579,1105,1,16.385732596177622
0,579,1140,2,14.579929042333728
0,579,1187,1,16.57993448038173
0,579,1232,1,18.33205273511288
0,579,1399,1,21.318671859080585
0,702,834,45,4.389831624444016
0,702,928,6,11.847457656626572
0,702,973,2,14.048686290771036
0,702,1004,6,7.841523685223605
0,702,1011,3,10.884143023519666
0,702,1058,1,14.468812957232682
0,702,1067,1,21.8612627514462
0,702,1105,1,18.21042691241635
0,702,1140,3,13.472348608720578
0,702,1187,1,16.72667802016658
0,702,1213,1,14.16486062369625
0,702,1232,1,18.84696316793992
0,702,1399,1,19.741079331307574
0,702,1478,1,20.105147324397244
0,714,856,1,12.80743720302119
0,714,925,5,6.736742718055863
0,714,928,28,5.640508575131163
0,714,967,3,8.192867163522228
0,714,973,12,6.739138237494938
0,714,1004,2,13.03892031990063
0,714,1011,2,8.663428210145675
0,714,1058,2,8.895594131564904
0,714,1067,3,12.344128539882757
0,714,1105,2,10.705966675098557
0,714,1140,2,11.751952287542252
0,714,1187,1,12.231441930901791
0,714,1232,2,13.478191227023236
0,714,1399,6,18.018266211078156
0,714,1478,1,22.15705148724807
0,783,967,7,12.247362390603268
0,783,973,8,17.685208029543023
0,783,1004,11,7.966246489389644
0,783,1011,6,13.554200769268274
0,783,1067,3,25.606032905209577
0,783,1105,2,21.4299278250006
0,783,1140,6,15.22789003823726
0,783,1187,3,19.009124176326512
0,783,1213,7,11.11949266445603
0,783,1232,4,21.210313956402903
0,783,1399,3,20.47900955025097
0,783,1478,12,18.994191672564124
0,794,172,1,24.591391490809126
0,794,200,2,17.329855363153897
0,794,402,12,11.081008814008824
0,794,464,2,16.018534965863886
0,794,525,5,12.411444711524124
0,794,1004,9,7.315405465360834
0,794,1011,8,5.876008831303484
0,794,1058,6,8.77829027244345
0,794,1067,3,15.745772705396131
0,794,1105,3,12.287533860803824
0,794,1140,9,9.096545861200513
0,794,1187,4,11.519003477970214
0,794,1213,1,15.264021951318778
0,794,1232,3,13.471439449058977
0,794,1399,4,15.826254339522078
0,794,1478,1,18.19275457179061
0,834,402,6,11.281169605088646
0,834,525,3,10.886391578093734
0,834,579,11,7.256503514219511
0,834,1004,32,4.837273690103386
0,834,1105,2,14.045233535461502
0,834,1140,7,9.120303414799448
0,834,1187,3,12.342244898446324
0,834,1213,2,12.569063966979074
0,834,1232,2,14.473652063742133
0,834,1399,3,15.539391645120883
0,834,1478,1,16.706287412191738
0,850,856,23,5.706192977163574
0,850,973,24,6.608947508553885
0,850,1067,25,5.87594370452583
0,850,1140,1,13.036256596755637
0,850,1187,1,11.109127914371388
0,850,1232,1,11.078851145692578
0,856,464,4,11.080793243354975
0,856,714,1,12.80743720302119
0,856,850,18,5.706192977163574
0,856,1067,11,6.736061142864135
0,873,834,35,3.963116935247085
0,873,1004,44,3.839767699909918
0,925,200,1,19.74674473703068
0,925,402,6,14.913154476154167
0,925,464,1,16.731616825582336
0,925,525,2,15.90866891150228
0,925,579,12,9.096756146766438
0,925,702,9,9.423506251261468
0,925,714,19,6.736742718055863
0,925,783,1,12.804913262721543
0,925,1187,8,7.6790367656671
0,925,1232,6,9.649241749541863
0,925,1399,7,12.268300526223484
0,925,1478,2,15.538947915471203
0,928,1105,12,6.509632645551289
0,928,1140,24,6.2484548670441855
0,928,1187,14,6.739067249150369
0,928,1232,12,8.28950012214804
0,928,1399,12,12.37821780679595
0,928,1478,2,16.795429231201826
0,967,1011,53,1.4629503400136323
0,967,1140,23,4.548230871686798
0,967,1478,2,14.163846735607535
0,973,402,1,18.419980035084063
0,973,464,2,14.912840443208973
0,973,525,1,20.41598808925938
0,973,579,3,12.02013346271456
0,973,702,3,14.048686290771036
0,973,714,28,6.739138237494938
0,973,794,10,8.005758424200978
0,973,834,5,10.076973504527178
0,973,1187,7,5.6404067966465385
0,973,1232,6,6.739053043647001
0,973,1399,5,11.751170313633397
0,973,1412,1,14.027846499005278
0,973,1478,1,16.94926120721475
0,1004,1011,6,6.654407802707156
0,1004,1105,1,14.430329325731782
0,1004,1140,28,7.442778444077659
0,1004,1187,1,11.361508124700526
0,1004,1213,31,7.964083694664586
0,1004,1232,1,13.548232944538976
0,1004,1399,4,12.567113648389872
0,1004,1478,3,12.268284911360968
0,1011,1140,55,3.335847799336888
0,1011,1187,8,5.851146926487822
0,1011,1232,5,7.964083694664586
0,1011,1399,8,10.052549905308156
0,1011,1478,2,13.494566217296024
0,1058,1140,22,4.404400893299181
0,1058,1187,45,3.335847799336888
0,1058,1232,11,4.83687793721146
0,1067,850,15,5.87594370452583
