time_step,start,end,vehicle,distance,kind
8,973,928,V27,2.202808837490146,shortage
8,973,928,V105,2.202808837490146,shortage
8,973,928,V109,2.202808837490146,shortage
8,973,928,V118,2.202808837490146,shortage
12,973,928,V120,2.202808837490146,shortage
12,925,928,V26,2.8524929798341074,shortage
12,925,928,V29,2.8524929798341074,shortage
12,925,928,V45,2.8524929798341074,shortage
12,925,928,V127,2.8524929798341074,shortage
12,1058,928,V112,3.468670210314232,shortage
12,783,928,V21,15.577087902404868,overflow
12,783,925,V22,12.804913262721543,overflow
12,783,973,V24,17.685208029543023,overflow
12,783,928,V25,15.577087902404868,overflow
12,783,925,V27,12.804913262721543,overflow
12,783,973,V34,17.685208029543023,overflow
12,783,928,V35,15.577087902404868,overflow
12,783,925,V37,12.804913262721543,overflow
12,783,973,V38,17.685208029543023,overflow
12,783,928,V39,15.577087902404868,overflow
12,783,925,V43,12.804913262721543,overflow
12,783,973,V44,17.685208029543023,overflow
12,783,928,V102,15.577087902404868,overflow
12,783,925,V105,12.804913262721543,overflow
12,783,973,V109,17.685208029543023,overflow
16,973,928,V21,2.202808837490146,shortage
16,973,928,V24,2.202808837490146,shortage
16,973,928,V33,2.202808837490146,shortage
16,973,928,V34,2.202808837490146,shortage
16,973,928,V44,2.202808837490146,shortage
16,973,928,V84,2.202808837490146,shortage
16,873,702,V79,4.548357078342699,shortage
16,873,702,V80,4.548357078342699,shortage
16,873,702,V104,4.548357078342699,shortage
16,873,702,V107,4.548357078342699,shortage
16,873,702,V141,4.548357078342699,shortage
16,794,834,V1,3.0622624863494035,shortage
16,794,834,V25,3.0622624863494035,shortage
16,794,834,V39,3.0622624863494035,shortage
16,1011,967,V32,1.4629503400136323,shortage
16,1011,967,V48,1.4629503400136323,shortage
16,783,834,V37,7.689481736045675,overflow
16,783,928,V41,15.577087902404868,overflow
16,783,702,V46,5.250413373789177,overflow
16,783,967,V49,12.247362390603268,overflow
16,783,834,V50,7.689481736045675,overflow
16,783,928,V51,15.577087902404868,overflow
16,783,702,V63,5.250413373789177,overflow
16,783,967,V64,12.247362390603268,overflow
16,783,834,V65,7.689481736045675,overflow
16,783,928,V66,15.577087902404868,overflow
16,783,702,V67,5.250413373789177,overflow
16,783,967,V68,12.247362390603268,overflow
16,783,834,V69,7.689481736045675,overflow
16,783,928,V71,15.577087902404868,overflow
16,783,702,V72,5.250413373789177,overflow
16,783,967,V81,12.247362390603268,overflow
16,783,834,V82,7.689481736045675,overflow
16,783,928,V83,15.577087902404868,overflow
16,783,702,V87,5.250413373789177,overflow
16,783,967,V106,12.247362390603268,overflow
16,783,834,V111,7.689481736045675,overflow
16,783,928,V114,15.577087902404868,overflow
16,783,702,V115,5.250413373789177,overflow
16,783,967,V117,12.247362390603268,overflow
16,783,834,V118,7.689481736045675,overflow
16,783,928,V119,15.577087902404868,overflow
16,783,702,V121,5.250413373789177,overflow
16,783,1058,V122,17.486864213198086,overflow
16,783,967,V123,12.247362390603268,overflow
16,783,873,V124,4.4064860569207775,overflow
16,783,834,V125,7.689481736045675,overflow
16,783,928,V126,15.577087902404868,overflow
16,783,702,V128,5.250413373789177,overflow
16,783,1058,V129,17.486864213198086,overflow
16,783,967,V130,12.247362390603268,overflow
16,783,873,V131,4.4064860569207775,overflow
16,783,1140,V132,15.22789003823726,overflow
16,783,834,V133,7.689481736045675,overflow
16,783,928,V134,15.577087902404868,overflow
16,783,702,V135,5.250413373789177,overflow
16,783,1058,V136,17.486864213198086,overflow
16,783,967,V137,12.247362390603268,overflow
16,783,873,V139,4.4064860569207775,overflow
16,783,1140,V144,15.22789003823726,overflow
16,783,834,V146,7.689481736045675,overflow
16,783,928,V147,15.577087902404868,overflow
16,783,702,V148,5.250413373789177,overflow
16,783,1058,V150,17.486864213198086,overflow
16,783,967,V151,12.247362390603268,overflow
16,783,873,V152,4.4064860569207775,overflow
16,783,1140,V155,15.22789003823726,overflow
16,783,834,V181,7.689481736045675,overflow
16,783,928,V185,15.577087902404868,overflow
16,783,702,V186,5.250413373789177,overflow
16,783,1058,V190,17.486864213198086,overflow
16,783,967,V193,12.247362390603268,overflow
16,783,1232,V195,21.210313956402903,overflow
16,783,873,V196,4.4064860569207775,overflow
16,783,856,V197,28.55412357877098,overflow
