time_step,start,end,vehicle,distance,kind
7,973,928,V27,2.202808837490146,shortage
7,973,928,V105,2.202808837490146,shortage
8,973,928,V109,2.202808837490146,shortage
8,973,928,V118,2.202808837490146,shortage
9,973,928,V120,2.202808837490146,shortage
10,925,928,V27,2.8524929798341074,shortage
11,925,928,V32,2.8524929798341074,shortage
11,925,928,V116,2.8524929798341074,shortage
12,925,928,V45,2.8524929798341074,shortage
12,1058,928,V112,3.468670210314232,shortage
12,783,928,V21,15.577087902404868,overflow
12,783,925,V22,12.804913262721543,overflow
12,783,973,V24,17.685208029543023,overflow
12,783,928,V25,15.577087902404868,overflow
12,783,925,V30,12.804913262721543,overflow
12,783,973,V34,17.685208029543023,overflow
12,783,928,V35,15.577087902404868,overflow
12,783,925,V37,12.804913262721543,overflow
12,783,973,V38,17.685208029543023,overflow
12,783,928,V39,15.577087902404868,overflow
12,783,925,V43,12.804913262721543,overflow
12,783,973,V44,17.685208029543023,overflow
12,783,928,V102,15.577087902404868,overflow
12,783,925,V109,12.804913262721543,overflow
12,783,973,V111,17.685208029543023,overflow
13,783,928,V26,15.577087902404868,overflow
13,783,928,V29,15.577087902404868,overflow
13,783,925,V41,12.804913262721543,overflow
13,783,834,V81,7.689481736045675,overflow
13,783,928,V106,15.577087902404868,overflow
13,783,925,V113,12.804913262721543,overflow
13,783,834,V114,7.689481736045675,overflow
13,783,928,V117,15.577087902404868,overflow
13,783,925,V118,12.804913262721543,overflow
13,783,834,V121,7.689481736045675,overflow
13,783,928,V122,15.577087902404868,overflow
13,783,925,V123,12.804913262721543,overflow
13,783,973,V124,17.685208029543023,overflow
13,783,834,V128,7.689481736045675,overflow
13,783,928,V129,15.577087902404868,overflow
13,783,925,V130,12.804913262721543,overflow
13,783,973,V131,17.685208029543023,overflow
13,783,834,V132,7.689481736045675,overflow
13,783,928,V133,15.577087902404868,overflow
13,783,925,V134,12.804913262721543,overflow
13,783,973,V144,17.685208029543023,overflow
13,783,834,V181,7.689481736045675,overflow
13,783,928,V185,15.577087902404868,overflow
13,783,702,V186,5.250413373789177,overflow
13,783,925,V190,12.804913262721543,overflow
13,783,973,V193,17.685208029543023,overflow
13,783,1140,V195,15.22789003823726,overflow
13,783,834,V196,7.689481736045675,overflow
13,783,928,V197,15.577087902404868,overflow
13,783,702,V202,5.250413373789177,overflow
13,783,925,V248,12.804913262721543,overflow
13,783,973,V252,17.685208029543023,overflow
13,783,1140,V253,15.22789003823726,overflow
13,783,834,V254,7.689481736045675,overflow
14,783,928,V37,15.577087902404868,overflow
14,783,702,V46,5.250413373789177,overflow
14,783,967,V63,12.247362390603268,overflow
14,783,928,V64,15.577087902404868,overflow
14,783,702,V65,5.250413373789177,overflow
14,783,967,V82,12.247362390603268,overflow
14,783,928,V83,15.577087902404868,overflow
14,783,702,V115,5.250413373789177,overflow
14,783,967,V125,12.247362390603268,overflow
14,783,928,V135,15.577087902404868,overflow
14,783,702,V136,5.250413373789177,overflow
14,783,967,V146,12.247362390603268,overflow
14,783,1140,V147,15.22789003823726,overflow
14,783,834,V148,7.689481736045675,overflow
14,783,928,V198,15.577087902404868,overflow
14,783,702,V199,5.250413373789177,overflow
14,783,579,V203,11.850386463154225,overflow
14,783,967,V221,12.247362390603268,overflow
14,783,1140,V241,15.22789003823726,overflow
14,783,834,V260,7.689481736045675,overflow
14,783,928,V263,15.577087902404868,overflow
14,783,702,V266,5.250413373789177,overflow
14,783,579,V267,11.850386463154225,overflow
14,783,967,V268,12.247362390603268,overflow
14,783,925,V271,12.804913262721543,overflow
14,783,1140,V272,15.22789003823726,overflow
14,783,834,V282,7.689481736045675,overflow
14,783,928,V283,15.577087902404868,overflow
14,783,702,V284,5.250413373789177,overflow
14,783,579,V304,11.850386463154225,overflow
14,783,967,V305,12.247362390603268,overflow
14,783,925,V323,12.804913262721543,overflow
14,783,856,V324,28.55412357877098,overflow
15,783,1058,V66,17.486864213198086,overflow
15,783,1058,V67,17.486864213198086,overflow
15,783,928,V68,15.577087902404868,overflow
15,783,702,V69,5.250413373789177,overflow
15,783,1058,V149,17.486864213198086,overflow
15,783,967,V150,12.247362390603268,overflow
15,783,834,V151,7.689481736045675,overflow
15,783,928,V200,15.577087902404868,overflow
15,783,702,V205,5.250413373789177,overflow
15,783,1058,V206,17.486864213198086,overflow
15,783,967,V222,12.247362390603268,overflow
15,783,1232,V245,21.210313956402903,overflow
15,783,834,V276,7.689481736045675,overflow
15,783,928,V277,15.577087902404868,overflow
15,783,702,V285,5.250413373789177,overflow
15,783,1058,V303,17.486864213198086,overflow
15,783,967,V326,12.247362390603268,overflow
15,783,1187,V341,19.009124176326512,overflow
15,783,1232,V342,21.210313956402903,overflow
15,783,856,V343,28.55412357877098,overflow
15,783,1140,V344,15.22789003823726,overflow
16,783,702,V32,5.250413373789177,overflow
16,783,702,V49,5.250413373789177,overflow
16,783,967,V50,12.247362390603268,overflow
16,783,702,V71,5.250413373789177,overflow
16,783,967,V72,12.247362390603268,overflow
16,783,834,V87,7.689481736045675,overflow
16,783,702,V129,5.250413373789177,overflow
16,783,967,V137,12.247362390603268,overflow
16,783,834,V154,7.689481736045675,overflow
16,783,702,V181,5.250413373789177,overflow
16,783,1004,V278,7.966246489389644,overflow
16,783,1058,V279,17.486864213198086,overflow
16,783,967,V283,12.247362390603268,overflow
16,783,873,V286,4.4064860569207775,overflow
16,783,834,V307,7.689481736045675,overflow
16,783,702,V333,5.250413373789177,overflow
16,783,1004,V361,7.966246489389644,overflow
16,783,1058,V381,17.486864213198086,overflow
17,783,1058,V65,17.486864213198086,overflow
17,783,1058,V77,17.486864213198086,overflow
17,783,1058,V78,17.486864213198086,overflow
17,783,794,V158,10.46245949147104,overflow
17,783,928,V166,15.577087902404868,overflow
17,783,1058,V189,17.486864213198086,overflow
17,783,1011,V201,13.554200769268274,overflow
17,783,794,V288,10.46245949147104,overflow
17,783,928,V289,15.577087902404868,overflow
17,783,1058,V290,17.486864213198086,overflow
17,783,1011,V308,13.554200769268274,overflow
17,783,794,V336,10.46245949147104,overflow
17,783,928,V337,15.577087902404868,overflow
17,783,1058,V387,17.486864213198086,overflow
17,783,1011,V426,13.554200769268274,overflow
17,783,873,V442,4.4064860569207775,overflow
17,973,794,V24,8.005758424200978,overflow
17,973,928,V28,2.202808837490146,overflow
17,973,1058,V33,2.41855773034487,overflow
17,973,1011,V34,4.881725510082577,overflow
17,973,967,V44,5.7043821114062,overflow
17,973,1067,V84,7.92352939429049,overflow
18,973,1058,V22,2.41855773034487,overflow
18,973,1058,V26,2.41855773034487,overflow
18,973,1058,V29,2.41855773034487,overflow
18,973,1058,V101,2.41855773034487,overflow
18,973,1011,V107,4.881725510082577,overflow
18,973,873,V111,13.496121499721363,overflow
18,973,1058,V124,2.41855773034487,overflow
18,973,1011,V131,4.881725510082577,overflow
18,973,873,V133,13.496121499721363,overflow
18,973,1058,V138,2.41855773034487,overflow
18,783,1011,V68,13.554200769268274,overflow
18,783,1232,V69,21.210313956402903,overflow
18,783,873,V186,4.4064860569207775,overflow
18,783,928,V188,15.577087902404868,overflow
18,783,1058,V243,17.486864213198086,overflow
18,783,1011,V244,13.554200769268274,overflow
18,783,1067,V251,25.606032905209577,overflow
18,783,1232,V256,21.210313956402903,overflow
19,973,794,V31,8.005758424200978,overflow
19,973,794,V57,8.005758424200978,overflow
19,973,794,V58,8.005758424200978,overflow
19,973,928,V77,2.202808837490146,overflow
19,973,1058,V78,2.41855773034487,overflow
19,973,967,V88,5.7043821114062,overflow
19,973,873,V152,13.496121499721363,overflow
19,973,794,V160,8.005758424200978,overflow
19,783,928,V36,15.577087902404868,overflow
19,783,1058,V103,17.486864213198086,overflow
19,783,967,V126,12.247362390603268,overflow
19,783,873,V153,4.4064860569207775,overflow
19,783,794,V155,10.46245949147104,overflow
19,783,928,V156,15.577087902404868,overflow
19,783,1058,V209,17.486864213198086,overflow
19,850,967,V34,11.888191513854997,overflow
19,850,873,V42,19.05211151685567,overflow
20,783,1058,V1,17.486864213198086,overflow
20,783,1058,V26,17.486864213198086,overflow
20,783,967,V71,12.247362390603268,overflow
20,783,1187,V75,19.009124176326512,overflow
20,783,702,V83,5.250413373789177,overflow
20,783,1058,V90,17.486864213198086,overflow
20,783,967,V122,12.247362390603268,overflow
20,783,1187,V141,19.009124176326512,overflow
20,783,873,V151,4.4064860569207775,overflow
20,783,702,V182,5.250413373789177,overflow
20,783,1058,V183,17.486864213198086,overflow
20,783,967,V191,12.247362390603268,overflow
20,783,1187,V202,19.009124176326512,overflow
20,783,873,V221,4.4064860569207775,overflow
20,783,702,V224,5.250413373789177,overflow
20,783,1058,V275,17.486864213198086,overflow
20,783,967,V286,12.247362390603268,overflow
