time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,n_rebalance_moves,iteration_cost,cumulative_cost,n_vehicles_in_service
0,6092,367.52380952380463,6459.523809523805,0.0,367.5238095238095,353,265948.77746369457,265948.77746369457,6445
1,6445,382.04761904761654,6459.523809523805,367.5238095238095,382.047619047619,366,283626.5686402919,549575.3461039865,7730
2,4102,446.4761904761908,4166.428571428578,382.047619047619,446.47619047619094,439,219010.4975938665,768585.8436978529,5508
3,4041,571.9047619047615,4166.428571428578,446.47619047619094,571.9047619047616,563,220501.79428915263,989087.6379870055,5252
4,2422,411.1190476190568,2261.214285714292,571.9047619047616,411.11904761904714,407,175981.67943771655,1165069.317424722,3469
5,2220,452.33333333333985,2261.214285714292,411.11904761904714,452.3333333333336,447,172514.02736272654,1337583.3447874486,3151
6,1293,413.8095238095275,1254.47619047619,452.3333333333336,413.8095238095245,406,149505.0362582393,1487088.381045688,2176
7,1260,408.2857142857174,1254.47619047619,413.8095238095245,408.28571428571456,403,148994.7243313348,1636083.1053770226,2022
8,1129,416.66666666666674,1137.3809523809502,408.28571428571456,416.66666666666663,408,148270.3964925622,1784353.501869585,1898
9,1137,417.0476190476186,1137.3809523809502,416.66666666666663,417.0476190476189,410,148709.6726530587,1933063.1745226437,1791
10,2769,544.4047619047674,2896.3571428571463,417.0476190476189,544.4047619047622,539,200562.0191056556,2133625.193628299,3551
11,2986,454.76190476191323,2896.3571428571463,544.4047619047622,454.76190476190567,447,208259.9928632051,2341885.1864915043,3576
12,5597,973.4523809523835,6115.690476190475,454.76190476190567,973.4523809523824,1168,295992.6609679071,2637877.8474594112,6914
13,6313,776.1428571428623,6115.690476190475,973.4523809523824,776.142857142858,1482,341450.6321995618,2979328.479658973,8219
14,7711,1029.142857142846,7963.999999999989,776.142857142858,1029.1428571428576,1754,378630.7471127447,3357959.226771718,9880
15,7769,1224.1428571428478,7963.999999999989,1029.1428571428576,1224.1428571428562,1406,361566.7819951725,3719526.0087668905,12051
16,9027,1216.309523809512,9019.166666666664,1224.1428571428562,1216.3095238095252,1516,389766.57433835353,4109292.583105244,13356
17,8869,1366.4761904761817,9019.166666666664,1216.3095238095252,1366.4761904761908,1373,385520.89982844976,4494813.482933694,14363
18,10207,2007.2619047618991,10847.785714285717,1366.4761904761908,2007.2619047619069,2001,421722.09579734254,4916535.578731036,16229
19,11814,1041.047619047613,10847.785714285717,2007.2619047619069,1041.0476190476197,1113,449811.3217201522,5366346.900451188,16035
20,11411,609.1190476190441,10979.071428571422,1041.0476190476197,609.1190476190474,901,415062.37052866415,5781409.270979852,15447
21,11087,501.19047619046796,10979.071428571422,609.1190476190474,501.1904761904764,705,402371.61123161414,6183780.882211466,14584
22,10670,455.66666666665697,10624.476190476189,501.1904761904764,455.666666666667,636,383191.38816766674,6566972.2703791335,13925
23,10575,505.1428571428496,10624.476190476189,455.666666666667,505.14285714285757,641,377872.7062584766,6944844.97663761,13199
24,10726,554.0476190476202,10774.904761904767,505.14285714285757,554.047619047619,665,388967.86058537074,7333812.837222981,13354
25,10717,611.9523809523835,10774.904761904767,554.047619047619,611.9523809523811,743,390593.3929946561,7724406.2302176375,13376
26,11468,936.0952380952349,11792.142857142855,611.9523809523811,936.0952380952375,930,405938.2709514421,8130344.50116908,14373
27,11684,1044.2380952380918,11792.142857142855,936.0952380952375,1044.238095238097,1038,419610.88839489274,8549955.389563972,15556
28,11863,722.5476190476165,11541.30952380952,1044.238095238097,722.5476190476185,715,417823.980975105,8967779.370539077,15578
29,11205,1058.8571428571358,11541.30952380952,722.5476190476185,1058.8571428571436,1055,403179.8551759104,9370959.225714987,15840
30,11646,618.73809523811,11205.880952380967,1058.8571428571436,618.7380952380962,609,407697.9201930139,9778657.145908002,15571
31,11078,746.6190476190604,11205.880952380967,618.7380952380962,746.6190476190479,740,395860.31518436875,10174517.461092371,15597
32,10733,558.8095238095339,10545.190476190486,746.6190476190479,558.8095238095251,556,388568.2247558158,10563085.685848188,14920
33,10280,824.0000000000073,10545.190476190486,558.8095238095251,824.0000000000008,818,384398.525592311,10947484.211440498,14899
