time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,n_rebalance_moves,iteration_cost,cumulative_cost,n_vehicles_in_service
0,60,0.0,60.0,0.0,0.0,0,7569.5186428147135,7569.5186428147135,60
1,32,0.0,32.0,0.0,0.0,0,6820.885658351018,14390.40430116573,32
2,27,0.0,27.0,0.0,0.0,0,6469.222661569713,20859.62696273544,27
3,30,0.0,30.0,0.0,0.0,0,6595.7481446323645,27455.375107367807,30
4,19,0.0,19.0,0.0,0.0,0,6356.0344186714965,33811.4095260393,19
5,9,0.0,9.0,0.0,0.0,0,6158.975505269298,39970.3850313086,9
6,10,0.0,10.0,0.0,0.0,0,6168.797111849023,46139.182143157625,10
7,5,0.0,5.0,0.0,0.0,0,6076.844913047777,52216.0270562054,5
8,4,0.0,4.0,0.0,0.0,0,6047.824909909226,58263.85196611463,4
9,5,0.0,5.0,0.0,0.0,0,6069.569675459324,64333.42164157395,5
10,23,0.0,23.0,0.0,0.0,0,6874.05210360831,71207.47374518226,23
11,35,0.0,35.0,0.0,0.0,0,7440.477875873539,78647.95162105579,35
12,57,0.0,57.0,0.0,0.0,0,8464.402807555234,87112.35442861103,57
13,69,0.0,69.0,0.0,0.0,0,8677.821202397832,95790.17563100885,69
14,81,0.0,81.0,0.0,0.0,0,8364.723446635257,104154.8990776441,81
15,73,0.0,73.0,0.0,0.0,0,8254.343405303232,112409.24248294733,73
16,97,1.0,98.0,0.0,1.0,0,9029.88308513026,121439.1255680776,97
17,105,7.0,111.0,1.0,7.0,0,8924.142246189404,130363.26781426699,105
18,115,10.0,118.0,7.0,10.0,0,9300.428920282178,139663.69673454916,115
19,129,15.0,134.0,10.0,15.0,0,9161.271081838278,148824.96781638745,129
20,132,16.0,133.0,15.0,16.0,0,9530.481287530314,158355.44910391775,132
21,129,27.0,140.0,16.0,27.0,0,9386.004804354163,167741.4539082719,129
22,126,29.0,128.0,27.0,29.0,0,9123.845312250796,176865.29922052272,126
23,122,33.0,126.0,29.0,33.0,0,9829.353259301994,186694.65247982473,122
24,110,46.0,123.0,33.0,46.0,0,8899.647346236456,195594.29982606118,110
25,111,47.0,112.0,46.0,47.0,0,9146.217989251234,204740.5178153124,111
26,125,62.0,140.0,47.0,62.0,0,9254.660382936845,213995.17819824925,125
27,140,66.0,144.0,62.0,66.0,0,9927.835759514324,223923.0139577636,140
28,137,69.0,140.0,66.0,69.0,0,9276.05986709939,233199.07382486298,137
29,161,67.0,159.0,69.0,67.0,0,9770.225675226711,242969.2995000897,161
30,148,51.0,132.0,67.0,51.0,0,10496.640442191985,253465.93994228166,148
31,121,56.0,126.0,51.0,56.0,0,9537.681240508904,263003.62118279055,121
32,138,60.0,142.0,56.0,60.0,0,9895.61061016283,272899.2317929534,138
33,125,54.0,119.0,60.0,54.0,0,9266.885089676034,282166.1168826294,125
34,121,58.0,125.0,54.0,58.0,0,9506.30666434389,291672.42354697327,121
35,107,42.0,91.0,58.0,42.0,0,8640.489610827244,300312.9131578005,107
36,89,56.0,103.0,42.0,56.0,0,8403.9645298762,308716.8776876767,89
37,73,64.0,81.0,56.0,64.0,0,7584.44413342279,316301.3218210995,73
38,80,58.0,74.0,64.0,58.0,0,7881.790095345426,324183.1119164449,80
